Phone,Price,Mobile Link,Brand,Color,Storage,Image URL
"REDMI 13C (Starshine Green, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-starshine-green-128-gb/p/itmc4f0763fb3a50?pid=MOBGW4HKUXHFDYU2&lid=LSTMOBGW4HKUXHFDYU2WMFCCU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=browse&fm=organic&iid=b598cbd0-cd34-4ce5-8871-738a55e3b1d1.MOBGW4HKUXHFDYU2.SEARCH&ppt=None&ppn=None&ssid=hedsiw8i280000001713283186982,REDMI,Sea Green,64 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/x/p/-original-imagxg47kjmy9qym.jpeg?q=70
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹19,347",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ3ZFQ8AKKRS&lid=LSTMOBGZJ3ZFQ8AKKRS7Z6DKL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=browse&fm=organic&iid=b598cbd0-cd34-4ce5-8871-738a55e3b1d1.MOBGZJ3ZFQ8AKKRS.SEARCH&ppt=None&ppn=None&ssid=hedsiw8i280000001713283186982,OnePlus,Jade Black,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/o/z/nord-ce-3-lite-5g-ce2099-oneplus-original-imagzj3wqxzgquah.jpeg?q=70
"vivo T2x 5G (Glimmer Black, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUF389GDMP&lid=LSTMOBGZBFUF389GDMPYKMTEO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=browse&fm=organic&iid=b598cbd0-cd34-4ce5-8871-738a55e3b1d1.MOBGZBFUF389GDMP.SEARCH&ppt=None&ppn=None&ssid=hedsiw8i280000001713283186982,vivo,Jazzy Green,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","₹19,432",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ45PS4AQ7BA&lid=LSTMOBGZJ45PS4AQ7BANJ5XF3&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=browse&fm=organic&iid=b598cbd0-cd34-4ce5-8871-738a55e3b1d1.MOBGZJ45PS4AQ7BA.SEARCH&ppt=None&ppn=None&ssid=hedsiw8i280000001713283186982,OnePlus,Glimmer Black,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/w/z/u/-original-imagtxvtmxpagdpn.jpeg?q=70
"vivo T2x 5G (Glimmer Black, 128 GB)","₹11,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZDW5JHYW&lid=LSTMOBGZBFUZDW5JHYWRCDY5W&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=browse&fm=organic&iid=b598cbd0-cd34-4ce5-8871-738a55e3b1d1.MOBGZBFUZDW5JHYW.SEARCH&ppt=None&ppn=None&ssid=hedsiw8i280000001713283186982,vivo,Ice Blue,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
"vivo T2x 5G (Aurora Gold, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUFNDXSGHS&lid=LSTMOBGZBFUFNDXSGHSMEZSSN&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_21&otracker=browse&fm=organic&iid=b598cbd0-cd34-4ce5-8871-738a55e3b1d1.MOBGZBFUFNDXSGHS.SEARCH&ppt=None&ppn=None&ssid=hedsiw8i280000001713283186982,vivo,Blue Black,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
"vivo T2x 5G (Black Gladiator, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-black-gladiator-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGXZG9A9UCT35A&lid=LSTMOBGXZG9A9UCT35AGNETW4&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_22&otracker=browse&fm=organic&iid=b598cbd0-cd34-4ce5-8871-738a55e3b1d1.MOBGXZG9A9UCT35A.SEARCH&ppt=None&ppn=None&ssid=hedsiw8i280000001713283186982,vivo,Stardust Silver,256 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/g/h/r/-original-imagxzezcwh3exh8.jpeg?q=70
"vivo T2x 5G (Sunstone Orange, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-sunstone-orange-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGXZG9HX9EUTZR&lid=LSTMOBGXZG9HX9EUTZRVKASRL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=browse&fm=organic&iid=b598cbd0-cd34-4ce5-8871-738a55e3b1d1.MOBGXZG9HX9EUTZR.SEARCH&ppt=None&ppn=None&ssid=hedsiw8i280000001713283186982,vivo,Glimmer Black,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/6/b/-original-imagxzeqvznqbzpe.jpeg?q=70
"vivo T2x 5G (Marine Blue, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFU4HBKKFSN&lid=LSTMOBGZBFU4HBKKFSNXXMXTS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_24&otracker=browse&fm=organic&iid=b598cbd0-cd34-4ce5-8871-738a55e3b1d1.MOBGZBFU4HBKKFSN.SEARCH&ppt=None&ppn=None&ssid=hedsiw8i280000001713283186982,vivo,Aurora Gold,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70
"vivo T2x 5G (Marine Blue, 128 GB)","₹14,999",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZHRYUKVR&lid=LSTMOBGZBFUZHRYUKVRNME6VW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_25&otracker=browse&fm=organic&iid=25fe5f94-d89b-4d9f-8e58-173611db632c.MOBGZBFUZHRYUKVR.SEARCH&ppt=None&ppn=None&ssid=zz0deb9o2o0000001713283188190,vivo,2a,Not available,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70
"vivo T2x 5G (Aurora Gold, 128 GB)","₹14,999",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUSEFSWASX&lid=LSTMOBGZBFUSEFSWASXBYGWK9&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_26&otracker=browse&fm=organic&iid=25fe5f94-d89b-4d9f-8e58-173611db632c.MOBGZBFUSEFSWASX.SEARCH&ppt=None&ppn=None&ssid=zz0deb9o2o0000001713283188190,vivo,Starfrost White,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
"realme P1 5G (Peacock Green, 128 GB)","₹15,999",https://www.flipkart.com/realme-p1-5g-peacock-green-128-gb/p/itmae4447062b5b5?pid=MOBGYQ6BEHHQ9H7X&lid=LSTMOBGYQ6BEHHQ9H7XUGYV7T&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_27&otracker=browse&fm=organic&iid=en_ffo4CO8Ljmge2N6N12S_wrIMpcaqN1HSqy147M8swc3VzE3mMN8Y7P2kGUEEJxN_A8xqmKKET0VQ-FK90ZMQ2PUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=zz0deb9o2o0000001713283188190,realme,Power Black,64 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/d/w/p1-5g-rmx3870-realme-original-imagzxksvkdqufye.jpeg?q=70
"Nothing Phone (2a) 5G (Black, 128 GB)","₹23,999",https://www.flipkart.com/nothing-phone-2a-5g-black-128-gb/p/itm85c6bca5edadc?pid=MOBGVMQSZWSCFFWT&lid=LSTMOBGVMQSZWSCFFWTLEUOV6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_28&otracker=browse&fm=organic&iid=en_ffo4CO8Ljmge2N6N12S_wrIMpcaqN1HSqy147M8swc0WGPJiXenuZB1J3Ob3crZky-RydFuPrWRDQ9xVlYh5c_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=zz0deb9o2o0000001713283188190,Nothing,Ocean Green,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/i/x/-original-imagyr3vfpqrpkbv.jpeg?q=70
"vivo T2x 5G (Black Gladiator, 128 GB)","₹11,999",https://www.flipkart.com/vivo-t2x-5g-black-gladiator-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGXZG9KZTVDKHG&lid=LSTMOBGXZG9KZTVDKHGHHE5JQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_29&otracker=browse&fm=organic&iid=25fe5f94-d89b-4d9f-8e58-173611db632c.MOBGXZG9KZTVDKHG.SEARCH&ppt=None&ppn=None&ssid=zz0deb9o2o0000001713283188190,vivo,Charcoal Black,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/g/h/r/-original-imagxzezcwh3exh8.jpeg?q=70
"vivo T2x 5G (Marine Blue, 128 GB)","₹11,999",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUPTU7DNCA&lid=LSTMOBGZBFUPTU7DNCAHXPJPG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_30&otracker=browse&fm=organic&iid=25fe5f94-d89b-4d9f-8e58-173611db632c.MOBGZBFUPTU7DNCA.SEARCH&ppt=None&ppn=None&ssid=zz0deb9o2o0000001713283188190,vivo,Ice Blue,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹17,428",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ3WM5SGTGVZ&lid=LSTMOBGZJ3WM5SGTGVZKIFVYT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_31&otracker=browse&fm=organic&iid=25fe5f94-d89b-4d9f-8e58-173611db632c.MOBGZJ3WM5SGTGVZ.SEARCH&ppt=None&ppn=None&ssid=zz0deb9o2o0000001713283188190,OnePlus,Ink blue,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/7/k/-original-imagtxvur9yrxvru.jpeg?q=70
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹17,459",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ42KHUZZKMN&lid=LSTMOBGZJ42KHUZZKMNIQMJQ7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_32&otracker=browse&fm=organic&iid=25fe5f94-d89b-4d9f-8e58-173611db632c.MOBGZJ42KHUZZKMN.SEARCH&ppt=None&ppn=None&ssid=zz0deb9o2o0000001713283188190,OnePlus,Ash Black,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/r/b/nord-ce-3-lite-5g-ce2099-oneplus-original-imagzj42cctpjjze.jpeg?q=70
"REDMI 13C (Stardust Black, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-stardust-black-128-gb/p/itm9b22752239e4d?pid=MOBGW4HKVU4ZGZFZ&lid=LSTMOBGW4HKVU4ZGZFZCHB6WV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_33&otracker=browse&fm=organic&iid=25fe5f94-d89b-4d9f-8e58-173611db632c.MOBGW4HKVU4ZGZFZ.SEARCH&ppt=None&ppn=None&ssid=zz0deb9o2o0000001713283188190,REDMI,Ink blue,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/h/j/-original-imagxg47qr5wzvyh.jpeg?q=70
"REDMI 13C (Starfrost White, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-starfrost-white-128-gb/p/itm8e332b8346bef?pid=MOBGWUHSZKWBZQWJ&lid=LSTMOBGWUHSZKWBZQWJALOQ27&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_34&otracker=browse&fm=organic&iid=25fe5f94-d89b-4d9f-8e58-173611db632c.MOBGWUHSZKWBZQWJ.SEARCH&ppt=None&ppn=None&ssid=zz0deb9o2o0000001713283188190,REDMI,Royal Blue,64 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/k/z/-original-imagxg47dwvzqew3.jpeg?q=70
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,199",https://www.flipkart.com/nokia-105-single-sim-keypad-mobile-phone-wireless-fm-radio/p/itm1e2206f816463?pid=MOBGQFVGYU2F5CYT&lid=LSTMOBGQFVGYU2F5CYTVJXGPL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_35&otracker=browse&fm=organic&iid=25fe5f94-d89b-4d9f-8e58-173611db632c.MOBGQFVGYU2F5CYT.SEARCH&ppt=None&ppn=None&ssid=zz0deb9o2o0000001713283188190,Nokia,White,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/t/n/-original-imagqxtvyqzy7jbz.jpeg?q=70
"vivo T2x 5G (Aurora Gold, 128 GB)","₹11,999",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUQMTHYHSH&lid=LSTMOBGZBFUQMTHYHSHJMZZZF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_36&otracker=browse&fm=organic&iid=25fe5f94-d89b-4d9f-8e58-173611db632c.MOBGZBFUQMTHYHSH.SEARCH&ppt=None&ppn=None&ssid=zz0deb9o2o0000001713283188190,vivo,Groovy Violet,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
"vivo T2x 5G (Glimmer Black, 128 GB)","₹14,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZEMCKRGE&lid=LSTMOBGZBFUZEMCKRGEW3VLBC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_37&otracker=browse&fm=organic&iid=25fe5f94-d89b-4d9f-8e58-173611db632c.MOBGZBFUZEMCKRGE.SEARCH&ppt=None&ppn=None&ssid=zz0deb9o2o0000001713283188190,vivo,Starshine Green,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
"Motorola G34 5G (Charcoal Black, 128 GB)","₹10,999",https://www.flipkart.com/motorola-g34-5g-charcoal-black-128-gb/p/itm357c0dba433c3?pid=MOBGUFK494PA7H5Z&lid=LSTMOBGUFK494PA7H5ZSSVXQV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_38&otracker=browse&fm=organic&iid=25fe5f94-d89b-4d9f-8e58-173611db632c.MOBGUFK494PA7H5Z.SEARCH&ppt=None&ppn=None&ssid=zz0deb9o2o0000001713283188190,Motorola,Satin Blue,64 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/o/y/g34-5g-pb1v0000in-motorola-original-imagwu4s8naevwyq.jpeg?q=70
"Motorola g84 5G (Marshmallow Blue, 256 GB)","₹17,999",https://www.flipkart.com/motorola-g84-5g-marshmallow-blue-256-gb/p/itm7807a599d2202?pid=MOBGQFX6CNRYHFGF&lid=LSTMOBGQFX6CNRYHFGFCPKTXR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_39&otracker=browse&fm=organic&iid=25fe5f94-d89b-4d9f-8e58-173611db632c.MOBGQFX6CNRYHFGF.SEARCH&ppt=None&ppn=None&ssid=zz0deb9o2o0000001713283188190,Motorola,Glacier Blue,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/7/2/y/g84-5g-paym0017in-motorola-original-imagsyd2hzd63rr7.jpeg?q=70
